"Utility Type","Utility Name","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Total Usage"
"Investor owned utility","Pacific Gas and Electric Company","2015","      34.473832","     826.852780","      52.868346","    1758.804407","      56.187360","    1689.915151","    4419.101876"
"Investor owned utility","Pacific Gas and Electric Company","2016","      36.082045","     857.762753","      56.610838","    1801.415004","      69.707912","    1745.544184","    4567.122736"
"Investor owned utility","Pacific Gas and Electric Company","2017","      36.367355","     890.886204","      59.003319","    1683.825192","     170.815491","    1873.367168","    4714.264729"
"Investor owned utility","Pacific Gas and Electric Company","2018","      37.242809","     899.093619","      59.023642","    1773.534151","     190.215910","    1832.781258","    4791.891389"
"Investor owned utility","Pacific Gas and Electric Company","2019","      34.322199","     925.932501","      61.558841","    1845.786283","     169.629088","    1902.790915","    4940.019827"
"Investor owned utility","Pacific Gas and Electric Company","2020","      44.035839","     796.463061","      50.961727","    1585.346859","     139.964728","    1891.280082","    4508.052296"
"Investor owned utility","Pacific Gas and Electric Company","2021","      52.478496","     834.933231","      50.379319","    1428.849220","     223.494966","    1876.944292","    4467.079524"
"Investor owned utility","Pacific Gas and Electric Company","2022","      46.690482","     871.059565","      49.088725","    1371.240913","     227.467310","    1856.083065","    4421.630060"
"Investor owned utility","San Diego Gas and Electric Company","2015","       2.415126","     153.193840","      17.164971","      20.832651","       3.519448","     255.613587","     452.739623"
"Investor owned utility","San Diego Gas and Electric Company","2016","       3.134443","     158.536517","      17.631785","      21.347452","       3.149995","     268.964313","     472.764505"
"Investor owned utility","San Diego Gas and Electric Company","2017","       3.195573","     163.243384","      17.149301","      20.101224","       3.349949","     272.779657","     479.819088"
"Investor owned utility","San Diego Gas and Electric Company","2018","       3.888411","     166.691454","      23.432984","      20.348162","       3.636736","     264.499464","     482.497211"
"Investor owned utility","San Diego Gas and Electric Company","2019","       4.910633","     175.932144","      24.198474","      21.263997","       3.835372","     303.739146","     533.879766"
"Investor owned utility","San Diego Gas and Electric Company","2020","       4.659374","     147.831695","      24.223292","      22.067634","       3.584608","     302.816841","     505.183444"
"Investor owned utility","San Diego Gas and Electric Company","2021","       4.552909","     163.629497","      25.907981","      29.318889","       4.145629","     295.933709","     523.488614"
"Investor owned utility","San Diego Gas and Electric Company","2022","       4.366297","     175.266372","      26.420790","      31.374261","       4.023424","     280.829080","     522.280224"
"Investor owned utility","Southern California Gas Company","2015","      73.511935","     854.272744","      49.102257","    1614.206358","     242.413480","    2037.961003","    4871.467777"
"Investor owned utility","Southern California Gas Company","2016","      77.057246","     896.755486","      56.625179","    1720.039969","     236.793253","    2136.193698","    5123.464831"
"Investor owned utility","Southern California Gas Company","2017","      69.433349","     896.396137","      72.304007","    1715.434923","     229.745824","    2158.052907","    5141.367147"
"Investor owned utility","Southern California Gas Company","2018","      77.610242","     912.972726","      74.368127","    1714.356266","     229.224858","    2147.387224","    5155.919443"
"Investor owned utility","Southern California Gas Company","2019","      72.521590","     947.703760","      81.661475","    1684.338803","     219.359340","    2418.619748","    5424.204716"
"Investor owned utility","Southern California Gas Company","2020","      74.345502","     801.591595","      87.824475","    1615.559269","     226.239456","    2425.798286","    5231.358583"
"Investor owned utility","Southern California Gas Company","2021","      83.967564","     843.647413","      93.979446","    1649.556255","     168.543604","    2261.358462","    5101.052744"
"Investor owned utility","Southern California Gas Company","2022","      76.835290","     867.455413","      98.803001","    1605.783528","     147.424713","    2230.156810","    5026.458755"
"Publicly owned utility","City of Coalinga","2015","       0.000000","       0.679844","       0.000000","       0.000000","       0.000000","       0.829270","       1.509114"
"Publicly owned utility","City of Susanville","2015","       0.000307","       0.944072","       0.013001","       0.001152","       0.000000","       0.893093","       1.851625"
"Publicly owned utility","City of Susanville","2016","       0.000315","       1.067959","       0.013433","       0.001397","       0.000000","       1.029439","       2.112543"
"Publicly owned utility","City of Susanville","2017","       0.000545","       1.130300","       0.014899","       0.001361","       0.000000","       1.289169","       2.436274"
"Publicly owned utility","City of Susanville","2018","       0.000365","       1.078971","       0.012408","       0.001138","       0.000000","       1.076261","       2.169143"
"Publicly owned utility","City of Susanville","2019","       0.000543","       1.106696","       0.014229","       0.000943","       0.000000","       1.150851","       2.273262"
"Publicly owned utility","City of Susanville","2020","       0.000632","       1.097249","       0.013974","       0.000711","       0.000000","       1.090945","       2.203511"
"Publicly owned utility","City of Susanville","2021","       0.000375","       1.047777","       0.014412","       0.000742","       0.000000","       1.141207","       2.204513"
"Publicly owned utility","City of Susanville","2022","       0.000178","       1.887334","       0.017080","       0.001002","       0.000000","       1.237905","       3.143499"
"Publicly owned utility","Long Beach Gas Department","2015","       0.093719","      22.438684","       3.428735","       5.905928","       0.289339","      44.430571","      76.586976"
"Publicly owned utility","Long Beach Gas Department","2016","       0.112078","      23.161385","       4.305756","       6.733195","       2.087763","      44.832950","      81.233127"
"Publicly owned utility","Long Beach Gas Department","2017","       0.113733","      22.404088","       6.434851","       7.431252","       8.451327","      44.517494","      89.352745"
"Publicly owned utility","Long Beach Gas Department","2018","       0.121547","      22.105303","       4.943083","       8.420702","       7.318200","      45.458895","      88.367730"
"Publicly owned utility","Long Beach Gas Department","2019","       0.124575","      23.856056","       5.953206","       8.533935","       5.905606","      48.639595","      93.012973"
"Publicly owned utility","Long Beach Gas Department","2020","       0.134787","      21.633954","       3.484310","       7.466735","       9.674915","      48.390422","      90.785123"
"Publicly owned utility","Long Beach Gas Department","2021","       0.093817","      23.947361","       3.766381","       8.389595","       8.706527","      47.505185","      92.408866"
"Publicly owned utility","Long Beach Gas Department","2022","       0.065847","      24.129263","       3.790953","       8.105822","       4.020268","      45.006300","      85.118453"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2015","       0.034543","      11.807379","       0.657348","       2.430184","       0.215228","      10.583012","      25.727694"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2016","       0.061855","      12.488511","       0.661278","       2.537905","       0.133277","      10.788699","      26.671525"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2017","       0.046865","      13.370279","       0.657574","       2.482405","       0.125652","      11.562005","      28.244780"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2018","       0.007639","      13.619340","       0.732690","       2.322945","       0.159107","      11.565869","      28.407590"
